step,tag,value
11872,Debug/YOLO_Max_Class_ID,1.0
11922,Debug/YOLO_Max_Class_ID,1.0
11972,Debug/YOLO_Max_Class_ID,1.0
12022,Debug/YOLO_Max_Class_ID,1.0
12072,Debug/YOLO_Max_Class_ID,1.0
12122,Debug/YOLO_Max_Class_ID,1.0
12172,Debug/YOLO_Max_Class_ID,1.0
12215,Debug/YOLO_Max_Class_ID,1.0
12265,Debug/YOLO_Max_Class_ID,1.0
12315,Debug/YOLO_Max_Class_ID,1.0
12365,Debug/YOLO_Max_Class_ID,1.0
12415,Debug/YOLO_Max_Class_ID,1.0
12465,Debug/YOLO_Max_Class_ID,1.0
12515,Debug/YOLO_Max_Class_ID,1.0
12565,Debug/YOLO_Max_Class_ID,1.0
12615,Debug/YOLO_Max_Class_ID,1.0
12665,Debug/YOLO_Max_Class_ID,1.0
12715,Debug/YOLO_Max_Class_ID,1.0
12765,Debug/YOLO_Max_Class_ID,1.0
12815,Debug/YOLO_Max_Class_ID,1.0
12865,Debug/YOLO_Max_Class_ID,1.0
12915,Debug/YOLO_Max_Class_ID,1.0
12965,Debug/YOLO_Max_Class_ID,1.0
13015,Debug/YOLO_Max_Class_ID,1.0
13065,Debug/YOLO_Max_Class_ID,1.0
13115,Debug/YOLO_Max_Class_ID,1.0
13165,Debug/YOLO_Max_Class_ID,1.0
13215,Debug/YOLO_Max_Class_ID,1.0
13265,Debug/YOLO_Max_Class_ID,1.0
13315,Debug/YOLO_Max_Class_ID,1.0
13365,Debug/YOLO_Max_Class_ID,1.0
13415,Debug/YOLO_Max_Class_ID,1.0
13465,Debug/YOLO_Max_Class_ID,1.0
13515,Debug/YOLO_Max_Class_ID,1.0
13565,Debug/YOLO_Max_Class_ID,1.0
13615,Debug/YOLO_Max_Class_ID,1.0
13665,Debug/YOLO_Max_Class_ID,1.0
13715,Debug/YOLO_Max_Class_ID,1.0
13765,Debug/YOLO_Max_Class_ID,1.0
13815,Debug/YOLO_Max_Class_ID,1.0
13865,Debug/YOLO_Max_Class_ID,1.0
13915,Debug/YOLO_Max_Class_ID,1.0
13965,Debug/YOLO_Max_Class_ID,1.0
14015,Debug/YOLO_Max_Class_ID,1.0
14065,Debug/YOLO_Max_Class_ID,1.0
14115,Debug/YOLO_Max_Class_ID,1.0
14165,Debug/YOLO_Max_Class_ID,1.0
14215,Debug/YOLO_Max_Class_ID,1.0
14265,Debug/YOLO_Max_Class_ID,1.0
14315,Debug/YOLO_Max_Class_ID,1.0
14365,Debug/YOLO_Max_Class_ID,1.0
14415,Debug/YOLO_Max_Class_ID,1.0
14465,Debug/YOLO_Max_Class_ID,1.0
14515,Debug/YOLO_Max_Class_ID,1.0
14565,Debug/YOLO_Max_Class_ID,1.0
14615,Debug/YOLO_Max_Class_ID,1.0
14658,Debug/YOLO_Max_Class_ID,1.0
14708,Debug/YOLO_Max_Class_ID,1.0
14758,Debug/YOLO_Max_Class_ID,1.0
14808,Debug/YOLO_Max_Class_ID,1.0
14858,Debug/YOLO_Max_Class_ID,1.0
14908,Debug/YOLO_Max_Class_ID,1.0
14958,Debug/YOLO_Max_Class_ID,1.0
15008,Debug/YOLO_Max_Class_ID,1.0
15058,Debug/YOLO_Max_Class_ID,1.0
15108,Debug/YOLO_Max_Class_ID,1.0
15158,Debug/YOLO_Max_Class_ID,1.0
15208,Debug/YOLO_Max_Class_ID,1.0
15258,Debug/YOLO_Max_Class_ID,1.0
15308,Debug/YOLO_Max_Class_ID,1.0
15358,Debug/YOLO_Max_Class_ID,1.0
15408,Debug/YOLO_Max_Class_ID,1.0
15458,Debug/YOLO_Max_Class_ID,1.0
15508,Debug/YOLO_Max_Class_ID,1.0
15558,Debug/YOLO_Max_Class_ID,1.0
15608,Debug/YOLO_Max_Class_ID,1.0
15658,Debug/YOLO_Max_Class_ID,1.0
15708,Debug/YOLO_Max_Class_ID,1.0
15758,Debug/YOLO_Max_Class_ID,1.0
15808,Debug/YOLO_Max_Class_ID,1.0
15858,Debug/YOLO_Max_Class_ID,1.0
15908,Debug/YOLO_Max_Class_ID,1.0
15958,Debug/YOLO_Max_Class_ID,1.0
16008,Debug/YOLO_Max_Class_ID,1.0
16058,Debug/YOLO_Max_Class_ID,1.0
16108,Debug/YOLO_Max_Class_ID,1.0
16158,Debug/YOLO_Max_Class_ID,1.0
16208,Debug/YOLO_Max_Class_ID,1.0
16258,Debug/YOLO_Max_Class_ID,1.0
16308,Debug/YOLO_Max_Class_ID,1.0
16358,Debug/YOLO_Max_Class_ID,1.0
16408,Debug/YOLO_Max_Class_ID,1.0
16458,Debug/YOLO_Max_Class_ID,1.0
16508,Debug/YOLO_Max_Class_ID,1.0
16558,Debug/YOLO_Max_Class_ID,1.0
16608,Debug/YOLO_Max_Class_ID,1.0
16658,Debug/YOLO_Max_Class_ID,1.0
16708,Debug/YOLO_Max_Class_ID,1.0
16758,Debug/YOLO_Max_Class_ID,1.0
16808,Debug/YOLO_Max_Class_ID,1.0
16858,Debug/YOLO_Max_Class_ID,1.0
16908,Debug/YOLO_Max_Class_ID,1.0
16958,Debug/YOLO_Max_Class_ID,1.0
17008,Debug/YOLO_Max_Class_ID,1.0
17058,Debug/YOLO_Max_Class_ID,1.0
17101,Debug/YOLO_Max_Class_ID,1.0
17151,Debug/YOLO_Max_Class_ID,1.0
17201,Debug/YOLO_Max_Class_ID,1.0
17251,Debug/YOLO_Max_Class_ID,1.0
17301,Debug/YOLO_Max_Class_ID,1.0
17351,Debug/YOLO_Max_Class_ID,1.0
17401,Debug/YOLO_Max_Class_ID,1.0
17451,Debug/YOLO_Max_Class_ID,1.0
17501,Debug/YOLO_Max_Class_ID,1.0
17551,Debug/YOLO_Max_Class_ID,1.0
17601,Debug/YOLO_Max_Class_ID,1.0
17651,Debug/YOLO_Max_Class_ID,1.0
17701,Debug/YOLO_Max_Class_ID,1.0
17751,Debug/YOLO_Max_Class_ID,1.0
17801,Debug/YOLO_Max_Class_ID,1.0
17851,Debug/YOLO_Max_Class_ID,1.0
17901,Debug/YOLO_Max_Class_ID,1.0
17951,Debug/YOLO_Max_Class_ID,1.0
18001,Debug/YOLO_Max_Class_ID,1.0
18051,Debug/YOLO_Max_Class_ID,1.0
18101,Debug/YOLO_Max_Class_ID,1.0
18151,Debug/YOLO_Max_Class_ID,1.0
18201,Debug/YOLO_Max_Class_ID,1.0
18251,Debug/YOLO_Max_Class_ID,1.0
18301,Debug/YOLO_Max_Class_ID,1.0
18351,Debug/YOLO_Max_Class_ID,1.0
18401,Debug/YOLO_Max_Class_ID,1.0
18451,Debug/YOLO_Max_Class_ID,1.0
18501,Debug/YOLO_Max_Class_ID,1.0
18551,Debug/YOLO_Max_Class_ID,1.0
18601,Debug/YOLO_Max_Class_ID,1.0
18651,Debug/YOLO_Max_Class_ID,1.0
18701,Debug/YOLO_Max_Class_ID,1.0
18751,Debug/YOLO_Max_Class_ID,1.0
18801,Debug/YOLO_Max_Class_ID,1.0
18851,Debug/YOLO_Max_Class_ID,1.0
18901,Debug/YOLO_Max_Class_ID,1.0
18951,Debug/YOLO_Max_Class_ID,1.0
19001,Debug/YOLO_Max_Class_ID,1.0
19051,Debug/YOLO_Max_Class_ID,1.0
19101,Debug/YOLO_Max_Class_ID,1.0
19151,Debug/YOLO_Max_Class_ID,1.0
19201,Debug/YOLO_Max_Class_ID,1.0
19251,Debug/YOLO_Max_Class_ID,1.0
19301,Debug/YOLO_Max_Class_ID,1.0
19351,Debug/YOLO_Max_Class_ID,1.0
19401,Debug/YOLO_Max_Class_ID,1.0
19451,Debug/YOLO_Max_Class_ID,1.0
19501,Debug/YOLO_Max_Class_ID,1.0
19544,Debug/YOLO_Max_Class_ID,1.0
19594,Debug/YOLO_Max_Class_ID,1.0
19644,Debug/YOLO_Max_Class_ID,1.0
19694,Debug/YOLO_Max_Class_ID,1.0
19744,Debug/YOLO_Max_Class_ID,1.0
19794,Debug/YOLO_Max_Class_ID,1.0
19844,Debug/YOLO_Max_Class_ID,1.0
19894,Debug/YOLO_Max_Class_ID,1.0
19944,Debug/YOLO_Max_Class_ID,1.0
19994,Debug/YOLO_Max_Class_ID,1.0
20044,Debug/YOLO_Max_Class_ID,1.0
20094,Debug/YOLO_Max_Class_ID,1.0
20144,Debug/YOLO_Max_Class_ID,1.0
20194,Debug/YOLO_Max_Class_ID,1.0
20244,Debug/YOLO_Max_Class_ID,1.0
20294,Debug/YOLO_Max_Class_ID,1.0
20344,Debug/YOLO_Max_Class_ID,1.0
20394,Debug/YOLO_Max_Class_ID,1.0
20444,Debug/YOLO_Max_Class_ID,1.0
20494,Debug/YOLO_Max_Class_ID,1.0
20544,Debug/YOLO_Max_Class_ID,1.0
20594,Debug/YOLO_Max_Class_ID,1.0
20644,Debug/YOLO_Max_Class_ID,1.0
20694,Debug/YOLO_Max_Class_ID,1.0
20744,Debug/YOLO_Max_Class_ID,1.0
20794,Debug/YOLO_Max_Class_ID,1.0
20844,Debug/YOLO_Max_Class_ID,1.0
20894,Debug/YOLO_Max_Class_ID,1.0
20944,Debug/YOLO_Max_Class_ID,1.0
20994,Debug/YOLO_Max_Class_ID,1.0
21044,Debug/YOLO_Max_Class_ID,1.0
21094,Debug/YOLO_Max_Class_ID,1.0
21144,Debug/YOLO_Max_Class_ID,1.0
21194,Debug/YOLO_Max_Class_ID,1.0
21244,Debug/YOLO_Max_Class_ID,1.0
21294,Debug/YOLO_Max_Class_ID,1.0
21344,Debug/YOLO_Max_Class_ID,1.0
